,Kolejka,season,home,away,date,hour,gh,ga,IsCancelled,IsWalkover
63,13,1927,£ÅKS £ÅÛdü,Jutrzenka KrakÛw,6/12/1927,17:00,2,1,0,0
64,14,1927,£ÅKS £ÅÛdü,Polonia Warszawa,6/16/1927,17:00,3,4,0,0
65,14,1927,Warszawianka Warszawa,Wis≥a KrakÛw,6/16/1927,17:30,0,2,0,0
66,14,1927,Jutrzenka KrakÛw,Legia Warszawa,6/16/1927,17:30,5,4,0,0
67,14,1927,PogoÒ LwÛw,Hasmonea LwÛw,6/16/1927,17:00,1,2,0,0
68,15,1927,Legia Warszawa,Hasmonea LwÛw,6/19/1927,17:30,4,1,0,0
69,15,1927,1. FC Katowice,£ÅKS £ÅÛdü,6/19/1927,17:00,4,1,0,0
70,15,1927,TKS ToruÒ,Wis≥a KrakÛw,6/19/1927,16:30,2,7,0,0
71,15,1927,Czarni LwÛw,Ruch ChorzÛw,6/19/1927,17:00,2,1,0,0
72,15,1927,PogoÒ LwÛw,Warta PoznaÒ,6/19/1927,17:00,6,2,0,0
73,15,1927,Jutrzenka KrakÛw,Klub TurystÛw £ÅÛdü,6/19/1927,17:30,0,0,0,0
74,16,1927,PogoÒ LwÛw,Wis≥a KrakÛw,6/26/1927,17:00,4,1,0,0
75,16,1927,Klub TurystÛw £ÅÛdü,Warta PoznaÒ,6/26/1927,17:30,0,3,0,0
76,16,1927,Polonia Warszawa,1. FC Katowice,6/26/1927,17:30,3,1,0,0
77,16,1927,Ruch ChorzÛw,Legia Warszawa,6/26/1927,17:00,3,1,0,0
78,16,1927,Jutrzenka KrakÛw,Warszawianka Warszawa,6/26/1927,16:00,4,1,0,0
79,17,1927,Warszawianka Warszawa,Klub TurystÛw £ÅÛdü,6/29/1927,17:30,1,2,0,0
80,17,1927,Hasmonea LwÛw,Jutrzenka KrakÛw,6/29/1927,17:00,2,1,0,0
81,17,1927,£ÅKS £ÅÛdü,Czarni LwÛw,6/29/1927,17:30,2,2,0,0
82,18,1927,Hasmonea LwÛw,Warta PoznaÒ,7/3/1927,17:15,7,5,0,0
83,18,1927,Jutrzenka KrakÛw,PogoÒ LwÛw,7/3/1927,17:30,2,3,0,0
84,18,1927,£ÅKS £ÅÛdü,Legia Warszawa,7/3/1927,17:30,3,1,0,0
85,18,1927,TKS ToruÒ,1. FC Katowice,7/3/1927,16:30,1,3,0,0
86,19,1927,Hasmonea LwÛw,Warszawianka Warszawa,7/10/1927,17:30,1,2,0,0
87,19,1927,TKS ToruÒ,Warta PoznaÒ,7/10/1927,16:50,6,3,0,0
88,19,1927,Ruch ChorzÛw,PogoÒ LwÛw,7/10/1927,17:00,0,2,0,0
89,19,1927,Jutrzenka KrakÛw,1. FC Katowice,7/10/1927,17:00,1,2,0,0
90,20,1927,Czarni LwÛw,TKS ToruÒ,7/17/1927,16:00,0,4,0,0
91,20,1927,Polonia Warszawa,PogoÒ LwÛw,7/17/1927,17:30,3,3,0,0
92,20,1927,Hasmonea LwÛw,Klub TurystÛw £ÅÛdü,7/17/1927,18:00,3,3,0,0
93,21,1927,Warszawianka Warszawa,Legia Warszawa,7/24/1927,17:00,2,1,0,0
94,21,1927,Jutrzenka KrakÛw,Warta PoznaÒ,7/24/1927,17:30,1,1,0,0
95,21,1927,Czarni LwÛw,Wis≥a KrakÛw,7/24/1927,17:30,2,3,0,0
96,21,1927,TKS ToruÒ,£ÅKS £ÅÛdü,7/24/1927,17:00,1,0,0,0
97,21,1927,1. FC Katowice,Hasmonea LwÛw,7/24/1927,17:00,9,3,0,0
98,21,1927,Klub TurystÛw £ÅÛdü,Ruch ChorzÛw,7/24/1927,17:30,4,1,0,0
99,22,1927,Warta PoznaÒ,£ÅKS £ÅÛdü,7/31/1927,17:00,5,2,0,0
100,22,1927,1. FC Katowice,Czarni LwÛw,7/31/1927,17:15,2,0,0,0
101,22,1927,Hasmonea LwÛw,Ruch ChorzÛw,7/31/1927,11:15,2,2,0,0
102,22,1927,Legia Warszawa,Klub TurystÛw £ÅÛdü,7/31/1927,17:30,5,2,0,0
103,22,1927,PogoÒ LwÛw,TKS ToruÒ,7/31/1927,17:00,8,1,0,0
104,22,1927,Polonia Warszawa,Jutrzenka KrakÛw,7/31/1927,11:30,3,2,0,0
105,22,1927,Wis≥a KrakÛw,Warszawianka Warszawa,7/31/1927,17:30,8,2,0,0
106,23,1927,Warta PoznaÒ,Legia Warszawa,8/7/1927,17:00,8,1,0,0
107,23,1927,Warszawianka Warszawa,1. FC Katowice,8/7/1927,17:30,1,2,0,0
108,23,1927,Wis≥a KrakÛw,Jutrzenka KrakÛw,8/7/1927,17:15,7,2,0,0
109,23,1927,PogoÒ LwÛw,Czarni LwÛw,8/7/1927,17:00,3,0,0,0
110,23,1927,Ruch ChorzÛw,Polonia Warszawa,8/7/1927,17:00,0,3,0,1
111,23,1927,£ÅKS £ÅÛdü,Klub TurystÛw £ÅÛdü,8/7/1927,17:00,2,4,0,0
112,24,1927,PogoÒ LwÛw,Jutrzenka KrakÛw,8/15/1927,17:00,2,0,0,0
113,24,1927,£ÅKS £ÅÛdü,Warszawianka Warszawa,8/14/1927,16:00,5,2,0,0
114,24,1927,Ruch ChorzÛw,TKS ToruÒ,8/14/1927,17:00,0,0,0,0
115,24,1927,Warta PoznaÒ,Wis≥a KrakÛw,8/14/1927,17:00,3,2,0,0
116,24,1927,Hasmonea LwÛw,Legia Warszawa,8/14/1927,17:00,0,2,0,0
117,24,1927,Polonia Warszawa,Czarni LwÛw,8/14/1927,17:00,3,3,0,0
118,24,1927,1. FC Katowice,TKS ToruÒ,8/15/1927,17:00,5,2,0,0
119,25,1927,Warta PoznaÒ,Warszawianka Warszawa,8/21/1927,17:00,1,0,0,0
120,25,1927,Wis≥a KrakÛw,Legia Warszawa,8/21/1927,16:30,1,0,0,0
